FordA,Euclidean: 0.686198278256,PRDC_BASE: 0.600111,RECOMPRESSION: 0.665093,ORIGINAL_NMD: 0.490142,WEIGHTING_NMD: 0.490697
Worms,Euclidean: 0.381215469613,PRDC_BASE: 0.464088,RECOMPRESSION: 0.475138,ORIGINAL_NMD: 0.486188,WEIGHTING_NMD: 0.497238
RefrigerationDevices,Euclidean: 0.389333333333,PRDC_BASE: 0.488,RECOMPRESSION: 0.525333,ORIGINAL_NMD: 0.554667,WEIGHTING_NMD: 0.52
ShapesAll,Euclidean: 0.658333333333,PRDC_BASE: 0.585,RECOMPRESSION: 0.598333,ORIGINAL_NMD: 0.465,WEIGHTING_NMD: 0.471667
OliveOil,Euclidean: 0.833333333333,PRDC_BASE: 0.733333,RECOMPRESSION: 0.7,ORIGINAL_NMD: 0.833333,WEIGHTING_NMD: 0.8
wafer,Euclidean: 0.991726151849,PRDC_BASE: 0.926184,RECOMPRESSION: 0.941759,ORIGINAL_NMD: 0.972907,WEIGHTING_NMD: 0.972258
MALLAT,Euclidean: 0.788912579957,PRDC_BASE: 0.623028,RECOMPRESSION: 0.630277,ORIGINAL_NMD: 0.796162,WEIGHTING_NMD: 0.787207
SwedishLeaf,Euclidean: 0.7184,PRDC_BASE: 0.5616,RECOMPRESSION: 0.568,ORIGINAL_NMD: 0.52,WEIGHTING_NMD: 0.5584
ItalyPowerDemand,Euclidean: 0.952380952381,PRDC_BASE: 0.541302,RECOMPRESSION: 0.56171,ORIGINAL_NMD: 0.659864,WEIGHTING_NMD: 0.669582
ScreenType,Euclidean: 0.416,PRDC_BASE: 0.413333,RECOMPRESSION: 0.474667,ORIGINAL_NMD: 0.56,WEIGHTING_NMD: 0.525333
Lighting2,Euclidean: 0.72131147541,PRDC_BASE: 0.688525,RECOMPRESSION: 0.672131,ORIGINAL_NMD: 0.704918,WEIGHTING_NMD: 0.737705
HandOutlines,Euclidean: 0.851,PRDC_BASE: 0.676,RECOMPRESSION: 0.677,ORIGINAL_NMD: 0.703,WEIGHTING_NMD: 0.703
ToeSegmentation2,Euclidean: 0.846153846154,PRDC_BASE: 0.707692,RECOMPRESSION: 0.684615,ORIGINAL_NMD: 0.684615,WEIGHTING_NMD: 0.707692
CinC_ECG_torso,Euclidean: 0.773913043478,PRDC_BASE: 0.369565,RECOMPRESSION: 0.452899,ORIGINAL_NMD: 0.48913,WEIGHTING_NMD: 0.502174
MedicalImages,Euclidean: 0.660526315789,PRDC_BASE: 0.548684,RECOMPRESSION: 0.552632,ORIGINAL_NMD: 0.560526,WEIGHTING_NMD: 0.571053
synthetic_control,Euclidean: 0.87,PRDC_BASE: 0.186667,RECOMPRESSION: 0.186667,ORIGINAL_NMD: 0.226667,WEIGHTING_NMD: 0.263333
OSULeaf,Euclidean: 0.471074380165,PRDC_BASE: 0.553719,RECOMPRESSION: 0.570248,ORIGINAL_NMD: 0.549587,WEIGHTING_NMD: 0.570248
BeetleFly,Euclidean: 0.6,PRDC_BASE: 0.75,RECOMPRESSION: 0.8,ORIGINAL_NMD: 0.75,WEIGHTING_NMD: 0.8
FaceAll,Euclidean: 0.646153846154,PRDC_BASE: 0.260355,RECOMPRESSION: 0.253254,ORIGINAL_NMD: 0.243787,WEIGHTING_NMD: 0.254438
ProximalPhalanxTW,Euclidean: 0.7975,PRDC_BASE: 0.745,RECOMPRESSION: 0.74,ORIGINAL_NMD: 0.79,WEIGHTING_NMD: 0.7775
